hash,start_lat,start_lon,start_elev,start_strike,start_dip,end_lat,end_lon,end_elev,end_strike,end_dip,s,bearing,start_dip_direction,end_dip_direction,start_pole_trend,start_pole_plunge,end_pole_trend,end_pole_plunge,mean_pole_trend,mean_pole_plunge,mean_dip_direction,mean_dip,perp_s,d_elev,R,inclination,angle,HEIGHT
1,28.00181863,108.79970060000001,1159,342,41,28.00386025,108.8009878,1167,335,36,259.26700000000005,29.102891888759643,72.0,65.0,252.0,49.0,245.0,54.0,248.6923512426473,51.551944987640006,68.6923512426473,38.448055012359994,199.79905680058957,8.0,199.95915357493695,2.2929113121779627,49.25903367546204,130.5
2,28.00567975,108.8010116,1188,258,36,28.00640093,108.80184469999999,1228,278,40,114.46199999999999,45.56468785861989,348.0,8.0,168.0,54.0,188.0,50.0,178.4515505569306,52.42387586476103,358.4515505569306,37.57612413523897,77.89744454191575,40.0,87.5671848705943,27.180301780319372,25.24357408444166,79.2
3,28.00727177,108.8008894,1197,235,38,28.00766111,108.8022492,1248,302,43,140.53099999999998,72.03171652708062,325.0,32.0,145.0,52.0,212.0,47.0,180.4379121942786,54.525820491304515,0.43791219427862416,35.474179508695485,44.37289394731374,51.0,67.6014328047827,48.974880497485664,5.550939993818851,67.3
4,28.01352211,108.8042487,1239,304,23,28.01385575,108.8052006,1247,263,28,100.65599999999999,68.34595054675844,34.0,353.0,214.0,67.0,173.0,62.0,191.53985665067688,65.91386242493009,11.539856650676882,24.086137575069912,55.10656542610538,8.0,55.68423073960555,8.260109891921177,57.65375253300891,29.8
5,28.01483162,108.80583270000001,1243,220,34,28.01500977,108.80612079999999,1248,327,39,34.534,54.991190999255025,310.0,57.0,130.0,56.0,237.0,51.0,188.05910968990653,66.17648882089155,8.059109689906563,23.82351117910845,23.582054069031457,5.0,24.10629117294328,11.970891996133858,54.20559682475769,14.1
6,28.01520776,108.8064131,1248,327,39,28.01555271,108.80807920000001,1252,273,41,168.25699999999998,76.80105611999545,57.0,3.0,237.0,51.0,183.0,49.0,209.392732290207,53.21507729429548,29.392732290206993,36.78492270570452,113.87112561287822,4.0,113.94135881383849,2.011826270758947,51.20325102353654,71.4
7,28.01531638,108.8082146,1259,273,41,28.01539086,108.80881959999999,1256,340,45,60.07,82.0612876378226,3.0,70.0,183.0,49.0,250.0,45.0,217.9198568606995,52.122440327431235,37.9198568606995,37.877559672568765,43.10760718856857,-3.0,43.21187102549401,-3.980982869789224,48.14145745764201,28.8
8,28.01624443,108.8092213,1261,306,31,28.01915794,108.81091609999999,1282,268,11,363.358,27.181443465049597,36.0,358.0,216.0,59.0,178.0,79.0,205.98779153823008,69.82351756388276,25.987791538230113,20.17648243611724,363.27915045982184,21.0,363.885615487628,3.308402979152605,66.51511458473016,145.0
9,28.01951442,108.811058,1276,268,11,28.02011523,108.81245039999999,1285,295,25,152.263,63.95096978751093,358.0,25.0,178.0,79.0,205.0,65.0,196.6839020716338,72.39890576442242,16.683902071633838,17.601094235577577,103.3229264484921,9.0,103.71416070084406,4.978215044332459,67.42069072008996,39.8
10,28.02066253,108.81288959999999,1293,295,25,28.02101725,108.81492220000001,1294,309,18,203.72,78.81695550656156,25.0,39.0,205.0,65.0,219.0,72.0,210.90779958722564,68.64224669828606,30.907799587225668,21.35775330171394,136.55515430880044,1.0,136.55881578389693,0.4195722646653191,68.22267443362074,50.7
11,28.02133413,108.81527040000002,1297,302,22,28.02379531,108.8148379,1288,0,16,276.04400000000004,351.18227724798413,32.0,90.0,212.0,68.0,270.0,74.0,236.17751094020753,73.18383831019945,56.177510940207526,16.816161689800552,116.68204702380636,-9.0,117.02862939326324,-4.410644382444476,68.77319392775497,42.4
12,28.02530724,108.81561070000001,1266,325,48,28.0299325,108.81427839999999,1256,333,37,529.0500000000001,345.73421986140943,55.0,63.0,235.0,42.0,243.0,53.0,238.57899914578272,47.568826350255385,58.578999145782745,42.431173649744615,156.04931061598455,-10.0,156.3693938842382,-3.6666322194457814,43.902194130809605,112.7
