Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,
Hongzixi,24/05/16-29/05/16,27.98858553,108.7938774,28.03035788,108.8142801,WGS84,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,COLOUR,FEATURES,HASH,,ASH,ASH_HEIGHT,,DZ,DZ_HEIGHT,,PM_SITE,PM_SAMPLE,PM_HEIGHT,,CHEM_SAMPLE,CHEM_HEIGHT,CHEM_d13C,CHEM_d18O,CHEM_87Sr/86Sr
14.8,si,sts,purple,,,,Hongzixi1-53.1,911.7,,Hongzixi2-237.8,237.8,,16TR001,A,934.6,,s1,1.5,0.766,-0.814,
0.2,tuff,tuff,tuff,,,,Hongzixi1-148.0,1006.6,,Hongzixi2-349.6,349.6,,16TR001,B,934.72,,s2,5.6,1.737,0.893,
1.5,si,sts,purple,,,,Hongzixi1-148.9,1007.5,,Hongzixi2-403.5,403.5,,16TR001,C,935.04,,s3,12,1.882,0.732,
4.8,cover,cover,cover,,,,Hongzixi2-138.3,138.3,,Hongzixi2-532.8,532.8,,16TR001,D,935.03,,s4,21.4,1.398,-0.682,
3.7,si,sts,purple,,,,Hongzixi2-159.4,159.4,,Hongzixi3-#3+224.7,1671.3,,16TR001,E,935.14,,s5,25.5,1.661,-0.516,
0.2,tuff,tuff,tuff,,,,Hongzixi2-462.4,462.4,,,,,16TR001,F,935.1,,s6,38.6,0.744,0.217,
2.7,si,sts,purple,,,,Hongzixi2-470.0,470,,,,,16TR001,G,935.15,,s7,44.3,0.911,0.087,
3,cover,cover,cover,,,,Hongzixi3-#3+21.7,1468.3,,,,,16TR001,H,935.81,,s8,70.1,1.485,-3.35,
7,si,sts,green,,,,Hongzixi3-#3+59.6,1506.2,,,,,16TR001,I,935.84,,s9,74.3,1.284,-0.686,
16,cover,cover,cover,,,,Hongzixi3-#11+8.2,2273.1,,,,,16TR001,J,936.05,,s10,80.6,0.788,0.443,
15.7,si,sts,green,,,,,,,,,,16TR002,B,937,,s11,97.9,1.7,-5.935,
9.7,cover,cover,cover,,,,,,,,,,16TR002,C,937.03,,s12,100.9,2.366,-1.009,
2,si,sts,green,,,,,,,,,,16TR002,D,937.1,,s13,103.5,2.595,-1.242,
0.1,tuff,tuff,tuff,,,,,,,,,,16TR002,E,937.11,,s14,114.4,0.37,-1.325,
8.8,si,sts,green,,,,,,,,,,16TR002,F,937.18,,s15,121.9,1.965,-1,
8.1,cover,cover,cover,,,,,,,,,,16TR002,G,937.27,,s16,129.4,1.584,-0.373,
1.4,si,sts,purple,,,,,,,,,,16TR002,H,937.32,,s17,139.9,1.19,-0.987,
3,si,sts,green,,,,,,,,,,16TR002,I,937.42,,s18,144.4,1.978,-6.686,
10.5,cover,cover,cover,,,,,,,,,,16TR003,A,915.6,,s19,146.3,1.85,-0.376,
9,si,sts,purple,,,,,,,,,,16TR003,B,915.9,,s20,150.8,1.925,-1.175,
3,si,sts,green,,,,,,,,,,16TR003,C,916.3,,s21,154.1,1.752,-2.23,
0.2,tuff,tuff,tuff,,,,,,,,,,16TR003,D,916.85,,s22,162.4,2.305,-1.45,
10.8,si,sts,green,,,,,,,,,,16TR003,E,916.87,,s23,165.4,2.032,-0.823,
3.1,si,sts-tuff,tuff,,,,,,,,,,16TR003,F,917.5,,s24,399,-3.53,-11.527,
10.5,si,sts,green,,,,,,,,,,16TR003,G,918.4,,s25,424.1,4.127,-6.634,
0.2,si,sts-tuff,tuff,,,,,,,,,,16TR003,H,918.5,,s26,429,3.945,-7.564,
8.1,si,sts,green,,,,,,,,,,16TR003,I,918.7,,s27,431.3,4.716,-7.987,
1.7,si,sts-tuff,tuff,,,,,,,,,,16TR003,J,919.3,,s28,434.3,4.903,-7.183,
6.4,si,sts,green,,,,,,,,,,16TR003,K,919.4,,s29,437.6,5.565,-4.78,0.706488122
3.2,cover,cover,cover,,,,,,,,,,16TR006,A,239,,s30,445.1,5.994,-5.403,
8.8,si,sts,green,,,,,,,,,,16TR006,B,239.43,,s31,450,5.968,-6.862,
2.8,cover,cover,cover,,,,,,,,,,16TR006,C,239.66,,s32,457.1,6.284,-5.669,
8.3,si,sts,green,,,,,,,,,,16TR006,D,252.01,,s33,463.1,5.2,-7.645,
4.5,cover,cover,cover,,,,,,,,,,16TR006,E,252.45,,s34,466.1,6.365,-3.603,
8.7,si,sts,green,tectonized,,,,,,,,,16TR006,F,254.85,,s35,472.9,7.059,-4.705,
2.5,si,sts,purple,,,,,,,,,,16TR006,G,254.86,,s36,475.1,7.019,-3.546,
