section,height,d13C,d18O
A23,13.00,5.81,-1.01
A23,30.00,5.95,-1.75
A23,31.00,1.60,-4.19
A23,32.00,6.70,-1.27
A23,99.00,5.27,-7.68
A23,113.00,-2.83,-6.91
A23,167.00,-2.18,-8.43
A23,168.00,-2.53,-8.49
A23,169.00,-1.35,-5.97
A23,170.00,-2.30,-5.07
A23,171.00,-1.73,-7.44
A23,172.00,-0.61,-3.72
A23,173.00,-0.77,-5.44
A23,174.00,-0.58,-7.98
A23,175.00,0.01,-3.49
A23,176.00,0.00,-6.71
A23,177.00,-0.88,-4.44
A23,178.00,-1.26,-8.46
A23,179.00,-1.95,-6.28
A23,180.00,-2.68,-3.61
A23,181.00,-0.80,-6.00
A23,182.00,-0.91,-5.31
A23,183.00,-1.47,-6.13
A23,184.00,-1.28,-4.72
A23,185.00,-2.01,-8.31
A23,186.00,-2.38,-12.42
A23,187.00,-2.18,-13.27
A23,188.00,-2.41,-10.85
A23,190.00,-2.66,-11.70
A23,192.00,-0.97,-4.94
A23,194.00,-2.78,-4.10
A23,196.00,-2.82,-8.51
A9,0.40,-0.73,-6.24
A9,2.00,-0.88,-5.35
A9,3.50,-0.86,-5.28
A9,5.00,1.30,-1.82
A9,6.50,-0.48,-7.00
A9,8.00,-0.94,-5.94
A9,10.00,-0.69,-3.00
A9,11.50,-0.22,-5.79
A9,13.00,-0.31,-2.85
A9,14.50,-0.03,-3.04
A9,16.00,-0.39,-2.82
A9,17.50,-0.62,-4.85
A9,18.70,-0.41,-7.48
A9,20.50,-0.47,-5.37
A9,22.00,-0.83,-6.90
A9,23.50,-0.87,-6.15
A9,25.00,-0.62,-4.81
A9,26.50,-0.56,-7.99
A9,28.00,-0.73,-6.86
A9,29.50,-0.95,-4.66
A9,31.00,-1.09,-7.35
A9,32.50,-0.76,-7.70
A9,34.50,-0.02,-4.08
A9,36.00,-0.32,-4.19
A9,37.50,-0.57,-5.97
A9,39.00,-0.20,-4.53
A9,40.50,-0.68,-5.15
A9,42.00,-1.01,-3.38
A9,43.50,-0.26,-2.32
A9,45.00,-0.35,-4.40
A9,46.50,-0.38,-7.16
A9,48.00,-0.21,-5.47
A9,49.50,-0.46,-5.97
A9,51.00,-0.39,-6.46
A9,52.50,-0.20,-5.57
A9,54.00,-0.121447019,-4.70
A9,55.50,-0.052885017,-2.91
A9,57.50,-0.801324332,-7.48
A9,59.00,-0.093130694,-6.84
A9,60.50,-0.609010606,-7.08
A9,62.00,-0.535637469,-6.69
A9,63.50,-0.342261096,-5.99
A9,65.00,-0.471234162,-6.38
A9,66.50,-0.54622764,-4.51
A9,68.00,-0.31987662,-7.49
A9,69.50,-0.335129047,-6.12
A9,71.00,-0.245513235,-5.18
A9,74.00,-0.370626972,-7.83
A9,75.50,-0.200246738,-8.12
A9,79.20,0.688857136,-8.73
A9,81.00,-1.08,-9.91
A9,82.00,-0.68,-11.14
A9,82.00,-1.54,-9.73
A9,84.00,-0.94,-9.10
A9,84.00,-1.12,-8.50
A9,85.10,-0.84,-8.06
A9,87,-0.55,-5.79
A9,88,-0.48,-5.70
A9,89.50,-0.90,-4.38
A9,89.50,-0.69,-2.35
A9,89.50,-1.22,-2.98
A9,90.00,-0.84,-5.62
A9,90.00,-1.92,-12.41
A9,90.00,-0.86,-3.65
A9,91.50,-0.72,-4.16
A9,91.50,-0.73,-4.42
A9,92.50,0.16,-3.31
A9,92.50,-0.95,-5.40
A9,92.50,-1.79,-6.04
A9,92.50,-1.16,-10.28
A1,0.00,-6.42,-7.98
A1,1.50,-7.25,-9.68
A1,3.00,-7.30,-9.22
A1,4.70,-6.82,-8.62
A1,6.00,-8.31,-11.74
A1,7.50,-7.12,-8.19
A1,10.50,-8.05,-10.96
A1,12.00,-6.90,-7.90
A1,15.50,-6.72,-7.47
A1,17.00,-6.48,-8.41
A1,18.50,-6.42,-7.60
A1,20.00,-6.24,-7.37
A1,21.50,-5.58,-7.21
A1,22.80,-6.44,-9.39
A1,24.50,-6.36,-8.45
A1,26.00,-6.92,-8.31
A1,28.00,-5.57,-7.22
A1,29.00,-5.53,-7.43
