THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES
0.2,ls,gr,mts
0.2,ls,ri,
0.2,ls,gr,mts
0.3,ls,ri,
1.4,ls,gr,mts
1,cover,cover,
1.7,ls,ri,mts
1.3,ls,gr,mts
0.8,cover,cover,
0.7,ls,ri,mts
0.8,cover,cover,
0.6,ls,icb,olt
0.2,cover,cover,
1.4,ls,gr,
0.6,ls,icb,
1.4,ls,gr,
4.7,ls,st,
28,si,sts,
2,si,sts,
0.3,ls,ri,
0.4,cover,cover,
0.8,ls,ri,
1.2,cover,cover,
0.4,ls,ri,
2.4,ls,ri-sts,
2.6,ls,ri,mts
1.2,cover,cover,
0.6,ls,ri,
1.2,ls,ri-sts,
2.6,cover,cover,
2.8,ls,ri,
0.6,ls,gr,
1.2,cover,cover,
1,ls,ri,
1.7,cover,cover,
0.7,ls,ri,
2.6,cover,cover,
4.5,ls,ri,
0.4,ls,gr,mts
2.8,ls,ri,
0.1,ls,gr,
2.7,ls,ri,
0.1,ls,gr,
1.6,ls,ri,
0.2,ls,gr,
3.9,ls,ri,
1,ls,gr,
1.2,ls,ri,
1,ls,gr,
5,ls,ri,
0.3,ls,gr,
0.4,ls,ri,
1.3,ls,gr,
0.2,ls,ri,
4.5,ls,gr,
1.1,ls,ri,
7,ls,gr,mts
0.3,ls,ri,
1.9,dl,st,
33.6,si,sts,
4.2,si,sts,
7.6,dl,R,
0.3,dl,st,
0.4,dl,gr,
4.7,dl,R,
0.1,dl,gr,
0.2,dl,ri,
17.2,cover,cover,
2,dl,gr,
4.8,dl,R,
2.7,dl,st,
0.8,dl,R,
0.5,dl,ri,
0.8,dl,R,
0.8,dl,R,
0.9,dl,R,
1.4,dl,R,
55.6,dl,R,
5.3,dl,R,
19.1,dl,st,
9.8,dl,st,
7.7,dl,st,
3.3,dl,st,
17.8,dl,R,
5,dl,st,
5.8,dl,st,
1.6,dl,st,
1.8,dl,st,
0.8,dl,icb,
9,dl,st,
11.2,si,di,
32.2,cover,cover,
2.8,si,di,
19.6,si,mss,
