CARB_SAMPLE,CARB_HEIGHT,CARB_d13C,CARB_d18O,CARB_87Sr/86Sr,CARB_Al_ppm,CARB_Ca_ppm,CARB_Fe_ppm,CARB_Mg_ppm,CARB_Mn_ppm,CARB_Sr_ppm
T46-1.2,1.2,1.820429042,0.130691631,,682.4693102,313906.3927,293.4087912,197499.6646,443.5527462,539.2267523
T46-2.1,2.1,1.597633208,0.134840984,,,,,,,
T46-3.8,3.8,0.102096428,-0.19586678,,,,,,,
T46-5.9,5.9,1.090519863,-1.066231916,,,,,,,
T46-7.1,7.1,2.194323923,-0.630247741,,,,,,,
T46-8,8,0.976443459,0.37174655,,,,,,,
T46-8.7,8.7,1.444319983,-0.027836341,,,,,,,
T46-9.6,9.6,0.917014269,0.425342336,,,,,,,
T46-11,11,2.354566415,-0.53138117,,,,,,,
T46-12,12,0.790906975,-0.199518656,,,,,,,
T46-13.6,13.6,1.75289848,-0.489769163,,,,,,,
T46-14.2,14.2,2.340456753,0.892447613,,,,,,,
T46-15.2,15.2,0.768107742,-0.424681061,,,,,,,
T46-17,17,1.231178247,0.127361914,,,,,,,
T46-18.4,18.4,-0.01526804,-0.53295451,,,,,,,
T46-19.2,19.2,1.216596885,1.443134115,,,,,,,
T46-21,21,1.171244717,0.720749521,,543.9573612,295539.9608,939.5298858,175278.7345,1312.616786,559.0133404
T46-22.4,22.4,0.257467212,0.617199775,,,,,,,
T46-24,24,1.043230263,0.742216995,,,,,,,
T46-25.3,25.3,1.478468494,0.757845845,,,,,,,
T46-26.3,26.3,2.26875827,1.183496008,,,,,,,
T46-27.9,27.9,1.886702306,0.880406643,,,,,,,
T46-29.2,29.2,1.225704742,0.97845235,,,,,,,
T46-30.4,30.4,1.501813118,1.22231142,,,,,,,
T46-33.6,33.6,2.221065476,-0.02973774,,,,,,,
T46-35.2,35.2,1.963450229,0.797258379,,,,,,,
T46-36,36,2.067405016,0.433438969,,,,,,,
T46-37.4,37.4,1.686230896,0.148925002,,,,,,,
T46-38.4,38.4,1.800355612,-0.163925313,,,,,,,
T46-39.7,39.7,2.217501843,0.252011488,,,,,,,
T46-41.2,41.2,2.022615783,0.234314213,,287.2446867,308869.1635,591.99942,184872.1982,158.171187,333.7933578
T46-42,42,1.953057906,0.952683866,,,,,,,
T46-43.4,43.4,2.003528774,-0.730628352,,,,,,,
T46-44.7,44.7,2.043037729,-1.112633271,,,,,,,
T46-45,45,3.825983588,-0.206987106,,,,,,,
T46-46.1,46.1,2.372390009,-0.069060521,,,,,,,
T46-46.8,46.8,0.461284066,-1.884087449,,,,,,,
T46-48.5,48.5,2.346254085,0.509207095,,,,,,,
T46-49.2,49.2,0.855548553,-0.514199047,,,,,,,
T46-50.6,50.6,2.003166243,0.545438713,,,,,,,
T46-53.7,53.7,1.922508874,0.295745464,,,,,,,
T46-54.4,54.4,1.350475358,0.235062335,,,,,,,
T46-54.7,54.7,2.124423497,0.011806337,,,,,,,
T46-55.8,55.8,2.06569343,0.400649513,,,,,,,
T46-56.3,56.3,2.810138571,0.431339932,,,,,,,
T46-58,58,4.044370325,-0.011227734,,,,,,,
T46-58.3,58.3,3.027598399,-0.104742237,,,,,,,
T46-60,60,4.053130582,0.783931795,,326.3078009,305337.4443,884.4386612,181027.9725,262.0753359,147.2575733
T46-61.6,61.6,4.144280425,0.643880972,,,,,,,
T46-62.6,62.6,4.144562171,0.686404762,,,,,,,
T46-63.2,63.2,4.141257981,0.544301203,,,,,,,
T46-64.3,64.3,4.072917885,0.141515297,,,,,,,
T46-64.4,64.4,4.32489823,0.759460512,,,,,,,
T46-64.8,64.8,2.746604938,-0.676153857,,,,,,,
T46-65.9,65.9,4.340764075,1.043603034,,,,,,,
T46-66.5,66.5,4.240050269,0.914987277,,,,,,,
T46-68.6,68.6,3.871103423,0.616386702,,,,,,,
T46-70.3,70.3,3.932180627,-1.982991556,,,,,,,
T46-71.9,71.9,4.378534574,-1.58618256,,1099.587701,327966.2559,7034.309452,187522.5798,1059.849495,124.6004551
T46-72.3,72.3,4.229405923,-0.51703833,,,,,,,
T46-84.9,84.9,1.960454973,-0.84875835,,,,,,,
T46-85.6,85.6,2.440851273,-0.233923865,,1212.119445,289458.5925,12988.46429,162002.7943,486.1664703,119.5895199
T46-86.7,86.7,2.933962603,-1.122268914,,,,,,,
T46-87.2,87.2,2.999319464,-1.078850282,,,,,,,
T46-87.8,87.8,3.154170173,-0.793577864,,676.7186179,256716.7002,6214.471498,147295.7605,356.0588574,107.8249623
T46-88.5,88.5,2.609413122,-0.629870189,,,,,,,
T46-89.4,89.4,0.453759248,-1.262310653,,836.3156215,273189.6692,6555.752229,154750.7788,1121.946739,125.8451842
T46-96.9,96.9,-3.291876723,-1.526702386,,488.6565455,267293.2089,9096.86285,140204.8056,3055.408415,402.7208303
T46-97.3,97.3,-4.234468352,-5.269940842,,,,,,,
T46-97.3,97.3,-3.494408667,-2.303911163,,269.8033804,251869.1543,1735.561153,138808.5479,1306.872339,583.871714
T46-97.7,97.7,,,,,,,,,
T46-98.6,98.6,-0.138564003,-4.7338013,0.706277827,813.1468607,287040.925,2062.518852,122529.0696,706.0441436,949.156989
T46-99,99,-0.017756658,-8.0065155,,,,,,,
T46-99.6,99.6,,,,,,,,,
T46-100.4,100.4,-0.465812935,-7.55790999,0.706569007,2109.216247,426984.1441,1320.151856,5849.985278,437.8185526,1558.727633
T46-100.8,100.8,-1.290180638,-4.481166631,,,,,,,
T46-101.5,101.5,-0.82043194,-4.214348332,,,,,,,
T46-109.7,109.7,2.092839045,-10.85014227,0.706334249,457.5106805,432535.7196,41.88406587,2659.130825,281.9255546,1079.778062
T46-112.6,112.6,3.220128842,-10.1218323,,,,,,,
T46-113.7,113.7,4.7745694,-8.01622188,,375.1225255,409855.7931,35.26977703,2790.547102,45.54813132,1015.723843
T46-115.3,115.3,4.524742124,-7.74526002,,,,,,,
T46-117.3,117.3,5.657126225,-6.985795362,0.706404851,266.1692854,427838.3518,-7.461272082,2332.5921,62.10831085,1460.303018
